casePath,time,nCells,totalVolume,hEff,TmaxRoom,TavgRoom,T95Room,roomHotspotThreshold,roomHotspotVolume,roomHotspotVolumeFraction,TmaxRackInlet,TavgRackInlet,T95RackInlet,rackInletRiskThreshold,rackInletHotspotVolume,rackInletHotspotFraction,nRackInletCells,returnOutletTareaAvg,returnOutletTmassFlowAvg,returnOutletOutflowFlux,pressureField,supplyPressureAvg,returnPressureAvg,deltaP_supply_minus_return,caseID,caseName,caseDir,rackID,timeSample,rackPowerW
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,6000,105000,105,0.1,317.5246,307.531919131,314.0248,315,1.69,0.0160952380952,312.8663,298.045485795,311.7929,305,0.079,0.224431818182,352,309.172097333,308.504307572,1.0185871682,p_rgh,0.535446134722,0,0.535446134722,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R2,6000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,7000,105000,105,0.1,315.6451,307.000870402,312.7466,315,0.122,0.0011619047619,309.5289,296.934686648,307.689,305,0.05,0.142045454545,352,311.907570667,311.806138583,1.0179445109,p_rgh,0.655780157639,0,0.655780157639,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R2,7000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,8000,105000,105,0.1,318.4192,307.191293715,313.3296,315,1.495,0.0142380952381,316.4301,304.523745455,315.4101,305,0.195,0.553977272727,352,309.287279667,307.606051745,1.0253627817,p_rgh,0.546873263194,0,0.546873263194,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R2,8000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,4000,105000,105,0.1,319.3432,306.915765089,313.5905,315,2.377,0.0226380952381,311.1876,300.657761648,310.5767,305,0.123,0.349431818182,352,312.700074667,312.461215617,1.0185837502,p_rgh,0.586404654861,0,0.586404654861,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R3,4000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,5000,105000,105,0.1,319.3866,306.975634721,313.873,315,2.779,0.0264666666666,315.6425,305.183303977,314.7852,305,0.188,0.534090909091,352,310.150484,309.773417952,1.0230624685,p_rgh,0.50628695625,0,0.50628695625,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R3,5000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,6000,105000,105,0.1,317.5246,307.531919131,314.0248,315,1.69,0.0160952380952,310.9994,300.956646307,309.793,305,0.162,0.460227272727,352,309.172097333,308.504307572,1.0185871682,p_rgh,0.535446134722,0,0.535446134722,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R3,6000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,7000,105000,105,0.1,315.6451,307.000870402,312.7466,315,0.122,0.0011619047619,312.8084,301.67207358,311.9825,305,0.137,0.389204545455,352,311.907570667,311.806138583,1.0179445109,p_rgh,0.655780157639,0,0.655780157639,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R3,7000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,8000,105000,105,0.1,318.4192,307.191293715,313.3296,315,1.495,0.0142380952381,310.9085,303.274926136,310.3403,305,0.219,0.622159090909,352,309.287279667,307.606051745,1.0253627817,p_rgh,0.546873263194,0,0.546873263194,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R3,8000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,4000,105000,105,0.1,324.7892,315.383477957,322.1746,315,67.771,0.645438095237,319.8909,313.087672443,319.3031,305,0.289,0.821022727273,352,316.531265667,315.469235358,0.67797320103,p_rgh,0.548284148611,0,0.548284148611,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L1,4000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,5000,105000,105,0.1,326.0542,315.243532022,321.4164,315,67.084,0.638895238094,324.6499,313.165257102,324.091,305,0.263,0.747159090909,352,319.676547667,319.394722761,0.7038192245,p_rgh,0.572351236111,0,0.572351236111,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L1,5000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,6000,105000,105,0.1,326.5096,314.624479676,322.132,315,57.59,0.548476190475,320.6874,311.437203409,319.9552,305,0.263,0.747159090909,352,318.184357,318.203308705,0.6906320194,p_rgh,0.788224904167,0,0.788224904167,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L1,6000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,7000,105000,105,0.1,327.8795,316.020221854,322.7981,315,72.257,0.688161904761,319.7141,308.654430398,319.1179,305,0.239,0.678977272727,352,317.506076,316.312489002,0.68408994783,p_rgh,0.468947961806,0,0.468947961806,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L1,7000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,8000,105000,105,0.1,326.78,315.081000173,321.2457,315,67.414,0.642038095237,321.9211,312.09143267,321.1325,305,0.27,0.767045454545,352,316.52029,315.397996536,0.67560857035,p_rgh,0.689772707639,0,0.689772707639,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L1,8000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,4000,105000,105,0.1,324.7892,315.383477957,322.1746,315,67.771,0.645438095237,319.7631,307.937325284,318.3977,305,0.254,0.721590909091,352,316.531265667,315.469235358,0.67797320103,p_rgh,0.548284148611,0,0.548284148611,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L2,4000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,5000,105000,105,0.1,326.0542,315.243532022,321.4164,315,67.084,0.638895238094,319.5428,310.784546591,318.8589,305,0.272,0.772727272727,352,319.676547667,319.394722761,0.7038192245,p_rgh,0.572351236111,0,0.572351236111,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L2,5000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,6000,105000,105,0.1,326.5096,314.624479676,322.132,315,57.59,0.548476190475,320.002,307.435289205,319.4206,305,0.213,0.605113636364,352,318.184357,318.203308705,0.6906320194,p_rgh,0.788224904167,0,0.788224904167,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L2,6000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,7000,105000,105,0.1,327.8795,316.020221854,322.7981,315,72.257,0.688161904761,322.7088,308.531346591,322.0143,305,0.222,0.630681818182,352,317.506076,316.312489002,0.68408994783,p_rgh,0.468947961806,0,0.468947961806,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L2,7000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,8000,105000,105,0.1,326.78,315.081000173,321.2457,315,67.414,0.642038095237,318.4652,309.70732017,317.7712,305,0.262,0.744318181818,352,316.52029,315.397996536,0.67560857035,p_rgh,0.689772707639,0,0.689772707639,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L2,8000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,4000,105000,105,0.1,324.7892,315.383477957,322.1746,315,67.771,0.645438095237,318.0532,309.631635227,316.6201,305,0.289,0.821022727273,352,316.531265667,315.469235358,0.67797320103,p_rgh,0.548284148611,0,0.548284148611,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L3,4000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,5000,105000,105,0.1,326.0542,315.243532022,321.4164,315,67.084,0.638895238094,319.8067,312.23145483,318.7525,305,0.305,0.866477272727,352,319.676547667,319.394722761,0.7038192245,p_rgh,0.572351236111,0,0.572351236111,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L3,5000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,6000,105000,105,0.1,326.5096,314.624479676,322.132,315,57.59,0.548476190475,318.1115,308.089023295,317.2055,305,0.254,0.721590909091,352,318.184357,318.203308705,0.6906320194,p_rgh,0.788224904167,0,0.788224904167,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L3,6000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,7000,105000,105,0.1,327.8795,316.020221854,322.7981,315,72.257,0.688161904761,325.5859,321.709607386,325.2156,305,0.34,0.965909090909,352,317.506076,316.312489002,0.68408994783,p_rgh,0.468947961806,0,0.468947961806,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L3,7000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,8000,105000,105,0.1,326.78,315.081000173,321.2457,315,67.414,0.642038095237,323.0717,314.02292017,322.4917,305,0.274,0.778409090909,352,316.52029,315.397996536,0.67560857035,p_rgh,0.689772707639,0,0.689772707639,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L3,8000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,4000,105000,105,0.1,324.7892,315.383477957,322.1746,315,67.771,0.645438095237,319.1546,309.512534375,318.4944,305,0.259,0.735795454545,352,316.531265667,315.469235358,0.67797320103,p_rgh,0.548284148611,0,0.548284148611,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R1,4000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,5000,105000,105,0.1,326.0542,315.243532022,321.4164,315,67.084,0.638895238094,320.8391,317.089797727,320.4836,305,0.352,1.0,352,319.676547667,319.394722761,0.7038192245,p_rgh,0.572351236111,0,0.572351236111,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R1,5000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,6000,105000,105,0.1,326.5096,314.624479676,322.132,315,57.59,0.548476190475,319.3443,312.671890057,318.8308,305,0.296,0.840909090909,352,318.184357,318.203308705,0.6906320194,p_rgh,0.788224904167,0,0.788224904167,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R1,6000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,7000,105000,105,0.1,327.8795,316.020221854,322.7981,315,72.257,0.688161904761,317.1898,308.772456534,316.4855,305,0.265,0.752840909091,352,317.506076,316.312489002,0.68408994783,p_rgh,0.468947961806,0,0.468947961806,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R1,7000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,8000,105000,105,0.1,326.78,315.081000173,321.2457,315,67.414,0.642038095237,318.4873,308.77395483,317.9589,305,0.247,0.701704545455,352,316.52029,315.397996536,0.67560857035,p_rgh,0.689772707639,0,0.689772707639,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R1,8000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,4000,105000,105,0.1,324.7892,315.383477957,322.1746,315,67.771,0.645438095237,317.3121,311.687469034,316.8865,305,0.297,0.84375,352,316.531265667,315.469235358,0.67797320103,p_rgh,0.548284148611,0,0.548284148611,C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R2,4000.0,3000.0
