caseID,caseName,caseDir,rackID,rackPowerW,TavgRackInlet_mean,TavgRackInlet_std,TavgRackInlet_min,TavgRackInlet_max,TavgRackInlet_final8000,T95RackInlet_mean,T95RackInlet_std,T95RackInlet_min,T95RackInlet_max,T95RackInlet_final8000,TmaxRackInlet_mean,TmaxRackInlet_std,TmaxRackInlet_min,TmaxRackInlet_max,TmaxRackInlet_final8000,rackInletHotspotFraction_mean,rackInletHotspotFraction_std,rackInletHotspotFraction_min,rackInletHotspotFraction_max,rackInletHotspotFraction_final8000,rackInletHotspotVolume_mean,rackInletHotspotVolume_std,rackInletHotspotVolume_min,rackInletHotspotVolume_max,rackInletHotspotVolume_final8000,nRackInletCells_mean,nRackInletCells_std,nRackInletCells_min,nRackInletCells_max,nRackInletCells_final8000,nLateSamples,lateTimeMin,lateTimeMax
C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,R1,3000.0,308.92695579580004,2.8990809210111848,305.852401705,312.061727557,307.366445455,318.22038,2.1269077018056057,316.4702,321.5544,316.4702,318.73446,2.080519801155479,316.9326,322.0093,316.9326,0.6198863636363999,0.09484978200641579,0.508522727273,0.741477272727,0.596590909091,0.2182,0.03338712326631332,0.179,0.261,0.21,352.0,0.0,352,352,352,5,4000.0,8000.0
C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,R2,3000.0,308.9028505114,1.361006326970364,306.893330682,310.02588892,306.893330682,317.051,1.160975064331709,315.89,318.8922,316.6314,317.67286,1.0721897980301835,316.2581,319.2685,317.46,0.6545454545453999,0.06754556351714412,0.585227272727,0.724431818182,0.585227272727,0.2304,0.02377603835797714,0.206,0.255,0.206,352.0,0.0,352,352,352,5,4000.0,8000.0
C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,R3,3000.0,305.90423068179996,2.594708392392229,302.691925284,309.53277017,304.334822159,314.726,1.32650081040307,313.6853,316.507,313.6853,315.88692000000003,1.195957339122099,314.4074,316.8752,314.4074,0.5511363636366,0.13569616472800158,0.357954545455,0.698863636364,0.474431818182,0.194,0.047765049984271966,0.126,0.246,0.167,352.0,0.0,352,352,352,5,4000.0,8000.0
C04,highRackLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,L1,5000.0,310.483145909,4.760925352924561,302.939412216,314.35328892,313.794859659,321.92659999999995,4.898943077338213,315.4729,326.5156,324.9742,323.61546000000004,4.356206395821933,318.5767,328.7027,325.8816,0.6619318181818,0.11328069339426321,0.463068181818,0.735795454545,0.730113636364,0.233,0.03987480407475377,0.163,0.259,0.257,352.0,0.0,352,352,352,5,4000.0,8000.0
C04,highRackLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,L2,5000.0,313.1651537501999,2.1828538951433853,310.904036364,316.489792614,313.124952557,325.19514,4.358566578933958,319.3001,331.1376,331.1376,326.23262000000005,4.340533751395102,320.8819,332.5693,332.5693,0.693181818182,0.07059530477136386,0.607954545455,0.767045454545,0.607954545455,0.244,0.024849547279578364,0.214,0.27,0.214,352.0,0.0,352,352,352,5,4000.0,8000.0
C04,highRackLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,L3,5000.0,313.5552560228,4.909989488740837,309.036625284,319.556209659,319.556209659,329.84178,3.949872397559187,324.3899,334.476,334.476,331.32834,3.552001667792415,326.3719,335.2823,335.2823,0.6534090909092,0.06282200110082749,0.59375,0.730113636364,0.707386363636,0.22999999999999998,0.022113344387495987,0.209,0.257,0.249,352.0,0.0,352,352,352,5,4000.0,8000.0
C04,highRackLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,R1,5000.0,314.7129564774,4.329795086237882,308.862482955,320.975857102,313.983740625,328.65276000000006,3.162278778507677,323.6466,332.104,328.0767,329.78232,2.6725081098099546,325.4995,332.5809,329.642,0.6852272727274,0.06401192949587453,0.590909090909,0.758522727273,0.721590909091,0.2412,0.02253219918250325,0.208,0.267,0.254,352.0,0.0,352,352,352,5,4000.0,8000.0
C04,highRackLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,R2,5000.0,314.07662596579996,1.6459792909355224,312.555667045,315.982198011,312.555667045,325.20924,0.7750499970969522,324.1113,325.9035,325.5563,325.7335,0.961046635184792,324.4739,326.4972,326.4184,0.7113636363638001,0.048236929780329195,0.650568181818,0.755681818182,0.650568181818,0.25040000000000007,0.016979399282660155,0.229,0.266,0.229,352.0,0.0,352,352,352,5,4000.0,8000.0
C04,highRackLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,R3,5000.0,314.89766465900004,4.186802120064675,308.746847159,319.126646023,319.126646023,325.64098,2.931476286276235,322.8398,329.0311,329.0311,326.20586,2.660763075322575,323.8465,329.2728,329.2728,0.7289772727274,0.09464108199304301,0.576704545455,0.818181818182,0.784090909091,0.25660000000000005,0.03331366086157448,0.203,0.288,0.276,352.0,0.0,352,352,352,5,4000.0,8000.0
C06,worstCase_lowFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C06_worstCase_lowFlow_highLoad,L1,5000.0,325.87264034099996,2.7434437991328213,322.317645739,329.562564205,326.444002841,338.82416,1.9494816357175593,337.2117,341.4314,341.4314,340.25216,1.9731654512483352,338.4647,342.9605,342.9605,0.8517045454546001,0.054734520812819196,0.778409090909,0.920454545455,0.866477272727,0.29979999999999996,0.01926655132606767,0.274,0.324,0.305,352.0,0.0,352,352,352,5,4000.0,8000.0
