casePath,time,nCells,totalVolume,hEff,TmaxRoom,TavgRoom,T95Room,roomHotspotThreshold,roomHotspotVolume,roomHotspotVolumeFraction,TmaxRackInlet,TavgRackInlet,T95RackInlet,rackInletRiskThreshold,rackInletHotspotVolume,rackInletHotspotFraction,nRackInletCells,returnOutletTareaAvg,returnOutletTmassFlowAvg,returnOutletOutflowFlux,pressureField,supplyPressureAvg,returnPressureAvg,deltaP_supply_minus_return,caseID,caseName,folder,Usupply,Tsupply,totalRackPowerW,expectedSupplyFlow,description,caseDir,TavgRackInletRise,T95RackInletRise,TmaxRackInletRise,TavgRoomRise,T95RoomRise,TmaxRoomRise,returnTempRise,flowBalanceErrorPercent,pressurePowerProxy,airChangesPerHour,estimatedHeatRemovedW,heatBalanceErrorPercent
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04,4000,105000,105,0.1,333.8298,317.896915733,327.4716,315,73.52,0.700190476189,329.8682,310.817225852,327.0793,305,1.347,0.637784090909,2112,326.191320667,325.949061904,1.0300006764,p_rgh,0.947250567361,0,0.947250567361,C04,highRackLoad,C04_highRackLoad,0.75,291,30000,1.08,All racks increased to 5 kW each,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,19.8172,36.0793,38.8682,26.8969,36.4716,42.8298,34.9491,4.629567,0.975669,35.3143,43413.054,44.7102
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04,5000,105000,105,0.1,332.6686,317.542209997,328.1908,315,70.084,0.667466666666,329.5879,310.90701804,325.1403,305,1.391,0.658617424242,2112,326.088269333,325.417292039,1.03696240784,p_rgh,0.892158939583,0,0.892158939583,C04,highRackLoad,C04_highRackLoad,0.75,291,30000,1.08,All racks increased to 5 kW each,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,19.9070,34.1403,38.5879,26.5422,37.1908,41.6686,34.4173,3.984962,0.925135,35.5530,43041.462,43.4715
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04,6000,105000,105,0.1,336.0611,319.232619644,329.3308,315,76.753,0.73098095238,334.0181,315.558230303,330.1436,305,1.552,0.734848484848,2112,325.137773,323.879847179,1.04598930065,p_rgh,0.734168488194,0,0.734168488194,C04,highRackLoad,C04_highRackLoad,0.75,291,30000,1.08,All racks increased to 5 kW each,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,24.5582,39.1436,43.0181,28.2326,38.3308,45.0611,32.8798,3.149139,0.767932,35.8625,41476.714,38.2557
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04,7000,105000,105,0.1,334.1477,318.005589784,329.0537,315,70.738,0.673695238094,332.5809,314.76951553,330.5527,305,1.507,0.713541666667,2112,323.023877,321.761932184,1.0433609004,p_rgh,0.773940160417,0,0.773940160417,C04,highRackLoad,C04_highRackLoad,0.75,291,30000,1.08,All racks increased to 5 kW each,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,23.7695,39.5527,41.5809,27.0056,38.0537,43.1477,30.7619,3.392509,0.807499,35.7724,38707.531,29.0251
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04,8000,105000,105,0.1,338.5703,319.113060113,330.2489,315,73.079,0.695990476189,335.2823,315.357012595,331.9208,305,1.479,0.700284090909,2112,322.308082,320.604218897,1.04447164806,p_rgh,0.790452983333,0,0.790452983333,C04,highRackLoad,C04_highRackLoad,0.75,291,30000,1.08,All racks increased to 5 kW each,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,24.3570,40.9208,44.2823,28.1131,39.2489,47.5703,29.6042,3.289662,0.825606,35.8105,37290.445,24.3015
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05,4000,105000,105,0.1,326.9485,312.082330595,318.8228,315,37.716,0.3592,320.1085,307.716903835,318.9965,305,1.375,0.651041666667,2112,316.237179,315.875865531,1.0455750357,p_rgh,0.679904217361,0,0.679904217361,C05,overloadedRack_L2,C05_overloadedRack_L2,0.75,291,23000,1.08,Rack L2 overloaded to 8 kW; others 3 kW,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05_overloadedRack_L2,16.7169,27.9965,29.1085,21.0823,27.8228,35.9485,24.8759,3.187497,0.710891,35.8483,31367.558,36.3807
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05,5000,105000,105,0.1,329.0869,312.407052402,320.2917,315,46.23,0.440285714285,321.0389,306.879464678,318.2681,305,1.307,0.61884469697,2112,315.257116667,314.933630789,1.0502538457,p_rgh,0.696438585417,0,0.696438585417,C05,overloadedRack_L2,C05_overloadedRack_L2,0.75,291,23000,1.08,Rack L2 overloaded to 8 kW; others 3 kW,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05_overloadedRack_L2,15.8795,27.2681,30.0389,21.4071,29.2917,38.0869,23.9336,2.754274,0.731437,36.0087,30314.484,31.8021
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05,6000,105000,105,0.1,323.3225,312.463722433,320.4194,315,47.452,0.451923809523,320.0469,305.132629167,317.9014,305,1.121,0.530776515152,2112,317.902256,316.219499417,1.017131053,p_rgh,0.745946342361,0,0.745946342361,C05,overloadedRack_L2,C05_overloadedRack_L2,0.75,291,23000,1.08,Rack L2 overloaded to 8 kW; others 3 kW,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05_overloadedRack_L2,14.1326,26.9014,29.0469,21.4637,29.4194,32.3225,25.2195,5.821199,0.758725,34.8731,30935.752,34.5033
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05,7000,105000,105,0.1,327.4112,311.913310468,319.0433,315,35.101,0.334295238095,324.546,308.620154119,321.3459,305,1.428,0.676136363636,2112,314.094789333,314.481808846,1.0478105325,p_rgh,0.808505275,0,0.808505275,C05,overloadedRack_L2,C05_overloadedRack_L2,0.75,291,23000,1.08,Rack L2 overloaded to 8 kW; others 3 kW,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05_overloadedRack_L2,17.6202,30.3459,33.5460,20.9133,28.0433,36.4112,23.4818,2.980506,0.847160,35.9249,29673.011,29.0131
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05,8000,105000,105,0.1,328.8373,312.50679586,320.8916,315,46.682,0.44459047619,323.8857,309.845315814,322.2916,305,1.475,0.698390151515,2112,316.938143667,316.385395173,1.0360401671,p_rgh,0.678414691667,0,0.678414691667,C05,overloadedRack_L2,C05_overloadedRack_L2,0.75,291,23000,1.08,Rack L2 overloaded to 8 kW; others 3 kW,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05_overloadedRack_L2,18.8453,31.2916,32.8857,21.5068,29.8916,37.8373,25.3854,4.070355,0.702865,35.5214,31718.149,37.9050
